"recipient_city","nature.of.payment"
"RAPID CITY","GIFT"
"RAPID CITY","FOOD AND BEVERAGE"
"ABERDEEN","GIFT"
"PIERRE","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"PIERRE","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"PIERRE","FOOD AND BEVERAGE"
"PIERRE","FOOD AND BEVERAGE"
"MITCHELL","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"ABERDEEN","GIFT"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"ABERDEEN","FOOD AND BEVERAGE"
"SIOUX FALLS","COMPENSATION FOR SERVICES OTHER THAN CONSULTING"
"PIERRE","FOOD AND BEVERAGE"
"WATERTOWN","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"PIERRE","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"MITCHELL","FOOD AND BEVERAGE"
"PIERRE","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"RAPID CITY","SPACE RENTAL OR FACILITY FEES(TEACHING HOSPITAL ONLY)"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"WATERTOWN","FOOD AND BEVERAGE"
"PIERRE","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"PIERRE","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"ABERDEEN","GIFT"
"SIOUX FALLS","FOOD AND BEVERAGE"
"DAKOTA DUNES","FOOD AND BEVERAGE"
"SIOUX FALLS","GIFT"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"MOBRIDGE","FOOD AND BEVERAGE"
"WATERTOWN","FOOD AND BEVERAGE"
"SIOUX FALLS","EDUCATION"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"MITCHELL","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"MOBRIDGE","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"DELL RAPIDS","FOOD AND BEVERAGE"
"MOBRIDGE","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"DEADWOOD","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"SIOUX FALLS","GIFT"
"DAKOTA DUNES","FOOD AND BEVERAGE"
"DAKOTA DUNES","EDUCATION"
"DEADWOOD","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"DEADWOOD","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"DAKOTA DUNES","ROYALTY OR LICENSE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"DAKOTA DUNES","FOOD AND BEVERAGE"
"MITCHELL","FOOD AND BEVERAGE"
"ABERDEEN","FOOD AND BEVERAGE"
"HURON","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"PIERRE","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"EDINA","CONSULTING FEE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"PIERRE","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","TRAVEL AND LODGING"
"SIOUX FALLS","FOOD AND BEVERAGE"
"MITCHELL","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"MITCHELL","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"WATERTOWN","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"RAPID CITY","SPACE RENTAL OR FACILITY FEES(TEACHING HOSPITAL ONLY)"
"SIOUX FALLS","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"ABERDEEN","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"RAPID CITY","TRAVEL AND LODGING"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"HILL CITY","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","TRAVEL AND LODGING"
"SIOUX FALLS","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"MITCHELL","EDUCATION"
"SIOUX FALLS","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"HOT SPRINGS","FOOD AND BEVERAGE"
"ABERDEEN","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"PIERRE","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"PIERRE","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"PIERRE","FOOD AND BEVERAGE"
"ELK POINT","FOOD AND BEVERAGE"
"DEADWOOD","FOOD AND BEVERAGE"
"SIOUX FALLS","CONSULTING FEE"
"HOT SPRINGS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"ABERDEEN","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX CITY","FOOD AND BEVERAGE"
"WATERTOWN","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"BELLE FOURCHE","FOOD AND BEVERAGE"
"DEADWOOD","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"WATERTOWN","FOOD AND BEVERAGE"
"WESSINGTON SPRINGS","FOOD AND BEVERAGE"
"WATERTOWN","FOOD AND BEVERAGE"
"SIOUX FALLS","COMPENSATION FOR SERVICES OTHER THAN CONSULTING"
"DEADWOOD","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"PIERRE","FOOD AND BEVERAGE"
"WATERTOWN","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","CONSULTING FEE"
"RAPID CITY","FOOD AND BEVERAGE"
"MITCHELL","FOOD AND BEVERAGE"
"WATERTOWN","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"ABERDEEN","CONSULTING FEE"
"SIOUX FALLS","TRAVEL AND LODGING"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","TRAVEL AND LODGING"
"ABERDEEN","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"ABERDEEN","TRAVEL AND LODGING"
"SIOUX FALLS","TRAVEL AND LODGING"
"SIOUX FALLS","TRAVEL AND LODGING"
"ABERDEEN","FOOD AND BEVERAGE"
"ABERDEEN","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","CONSULTING FEE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","TRAVEL AND LODGING"
"ABERDEEN","TRAVEL AND LODGING"
"ABERDEEN","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"ABERDEEN","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"ABERDEEN","TRAVEL AND LODGING"
"ABERDEEN","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"ABERDEEN","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"HURON","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"PIERRE","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"PIERRE","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"MADISON","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"PIERRE","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"WATERTOWN","FOOD AND BEVERAGE"
"CUSTER","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","CONSULTING FEE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"WATERTOWN","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"CUSTER","FOOD AND BEVERAGE"
"PIERRE","FOOD AND BEVERAGE"
"SPEARFISH","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"MITCHELL","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"CUSTER","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"WATERTOWN","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"CUSTER","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"PIERRE","FOOD AND BEVERAGE"
"PIERRE","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"BRANDON","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"PIERRE","FOOD AND BEVERAGE"
"WATERTOWN","FOOD AND BEVERAGE"
"WATERTOWN","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"RAPID CITY","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"DAKOTA DUNES","FOOD AND BEVERAGE"
"MITCHELL","FOOD AND BEVERAGE"
"WATERTOWN","FOOD AND BEVERAGE"
"PIERRE","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
"SIOUX FALLS","FOOD AND BEVERAGE"
