"zippy","total_amount_of_payment_usdollars"
5,11.94
921,125
1605,14.5
1845,26.38
1950,124.99
2190,99.98
2356,44.41
2601,80.22
2860,18.67
2886,14.15
2906,85.02
2919,5.5
4785,18.7
5710,218.95
5771,36.32
6002,161.63
6030,13.23
6051,1.15
6239,15.96
6320,17.15
6457,4.73
6611,211.86
6708,14.58
6810,89.99
6824,4.68
7080,18.7
7208,87.52
7470,37.47
7753,18.7
7945,13.01
8003,494.3
8033,16.1
8034,101.2
8043,198
8046,22.35
8048,18.7
8080,20.39
8108,0.76
8332,16.78
8534,54.5
8540,8274.2
8551,14.89
8648,3.57
8690,940.58
8753,527.9
8807,14.22
8822,39.16
8837,2735.11
8858,39.16
8901,86.38
23507,21.71
32224,21.71
33612,1551.09
35242,11.99
49855,14.29
51101,64.26
51105,32.92
52242,20824.81
52403,12
55102,29.65
55109,24.75
55439,47662.03
55702,0.97
56143,17.23
56164,24.95
57001,70.2
57003,1650.9
57004,30.3
57005,4534.88
57006,29786.93
57010,14.25
57013,3440.58
57014,24.94
57015,80.7
57018,13.75
57022,7670.4
57025,542.41
57026,12.65
57028,546.29
57029,2317.41
57030,722.61
57032,4195.93
57033,470.73
57038,40051.2
57039,268.9
57042,5499.25
57049,767342.01
57053,170.76
57058,270.8
57059,613.14
57062,118.62
57064,3529.5
57066,172.42
57069,11272.13
57070,10051.13
57075,1313.66
57078,55895.99
57101,339.84
57103,123545.53
57104,743431.73
57105,7134420.21
57106,83150.12
57107,3090.55
57108,4933683.63
57109,5684.68
57110,71438.76
57117,548499.82
57118,55362.3
57186,248
57201,663610.67
57225,1771.94
57226,100.98
57231,1735.1
57234,38.99
57248,11.5
57252,7294.08
57260,42.38
57262,2478.4
57269,13.69
57273,11.93
57274,162.31
57276,22.22
57301,52266
57313,224.81
57319,33.41
57325,6184.74
57328,137.12
57332,15.33
57335,20.84
57339,87.76
57345,119.97
57349,299.91
57350,15352.06
57355,26.62
57356,29.72
57362,1104.6
57366,585.66
57369,794.26
57376,16.99
57380,2247.81
57382,1624.83
57383,47.31
57401,280041.73
57402,10608.93
57428,42.03
57430,387
57437,21.22
57438,539.63
57442,203.15
57445,61.05
57451,73.27
57469,493.88
57472,27.96
57479,118.73
57501,189672.98
57523,911.27
57532,2492.18
57533,1208.94
57543,73.17
57551,615.62
57559,825.03
57567,13475.99
57568,296.5
57570,257.59
57578,17.85
57579,13.38
57580,3425.75
57601,12616.6
57625,78.45
57626,651.19
57638,163.81
57701,2279437.32
57702,3829732.88
57703,4952.46
57706,3327.35
57709,13717.76
57717,13647.95
57718,115.7
57730,27186.88
57732,10103.56
57735,13.51
57741,1235.23
57745,1909.93
57747,13738.37
57751,112.76
57752,560.37
57754,2555.46
57769,107.58
57770,668.22
57783,81909.55
57785,7208.16
57790,40.7
58102,90.32
58104,30.09
58206,58.43
59909,44.26
64108,21.9
67105,700
67502,1588.76
77030,316587.56
80230,23.08
84123,31.53
84132,164.11
91914,11.58
97117,15.78
